conflict_no,incident_no,start_date,end_date,province,district,llg,ward,village_community,x_lon,y_lat,source,conflict_name,people_groups_involved,status,root_cause,proximate_cause,trigger,incident_description,response_from_authorities,retaliation_related_incident,total_dead,total_injured,total_displaced,men_dead,men_injured,men_displaced,women_dead,women_injured,women_displaced,total_child_dead,total_child_injured,boy_dead,boy_injured,boy_displaced,girl_dead,girl_injured,girl_displaced,id,adm1_pcode,adm2_pcode,adm3_pcode,total_casualties,ignore,actor_simple
21,NA,2020-07-01,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Ward: Yatemali,142.6797,-5.76274,International Organizations,Yatemali Fight,Pari and Awi Tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,PG21,PG2105,PG210516,0,actor2,Awi Tribes
21,NA,2020-07-02,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Ward: Yatemali,142.6797,-5.76274,International Organizations,Yatemali Fight,Pari and Awi Tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,PG21,PG2105,PG210516,0,actor1,Pari
21,NA,2020-07-02,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Ward: Yatemali,142.6797,-5.76274,International Organizations,Yatemali Fight,Pari and Awi Tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,PG21,PG2105,PG210516,0,actor2,Awi Tribes
21,NA,2021-09-08,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Ward: Yatemali,142.6797,-5.76274,International Organizations,Yatemali Fight,Pari and Awi Tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,PG21,PG2105,PG210516,20,actor1,Pari
21,NA,2021-09-08,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Ward: Yatemali,142.6797,-5.76274,International Organizations,Yatemali Fight,Pari and Awi Tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,PG21,PG2105,PG210516,20,actor2,Awi Tribes
21,NA,2021-11-11,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Ward: Yatemali,142.6797,-5.76274,International Organizations,Yatemali Fight,Pari and Awi Tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,PG21,PG2105,PG210516,0,actor1,Pari
21,NA,2021-11-11,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Ward: Yatemali,142.6797,-5.76274,International Organizations,Yatemali Fight,Pari and Awi Tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,PG21,PG2105,PG210516,0,actor2,Awi Tribes
22,NA,2021-01-01,NA,Hela Province,Tari Pori District,Tari Urban LLG,NA,Hawa Ward,142.9265,-5.81666,International Organizations,Hawa Fight,Pii Pati and Yako,Active,NA,NA,NA,To be determined,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,PG21,PG2108,PG210829,12,actor1,Pii Pati
22,NA,2021-01-01,NA,Hela Province,Tari Pori District,Tari Urban LLG,NA,Hawa Ward,142.9265,-5.81666,International Organizations,Hawa Fight,Pii Pati and Yako,Active,NA,NA,NA,To be determined,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,PG21,PG2108,PG210829,12,actor2,Yako
23,NA,2021-01-03,NA,Hela Province,Tari Pori District,Tari Urban LLG,NA,Pii Valey,142.9261,-5.85473,International Organizations,Tari suburb fight,Pei Peli inner-tribal fight (Clans fighting: Tepua and Hone),Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,PG21,PG2108,PG210829,0,actor1,Pei
23,NA,2021-01-03,NA,Hela Province,Tari Pori District,Tari Urban LLG,NA,Pii Valey,142.9261,-5.85473,International Organizations,Tari suburb fight,Pei Peli inner-tribal fight (Clans fighting: Tepua and Hone),Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,PG21,PG2108,PG210829,0,actor2,Tepua
23,NA,2021-01-03,NA,Hela Province,Tari Pori District,Tari Urban LLG,NA,Pii Valey,142.9261,-5.85473,International Organizations,Tari suburb fight,Pei Peli inner-tribal fight (Clans fighting: Tepua and Hone),Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,PG21,PG2108,PG210829,0,actor3,Hone
24,NA,2021-01-01,2021-02-28,Hela Province,Tari Pori District,Tagali Rural LLG,NA,"Hoeibia 1 and 2 CW, Tari Urban",142.9719,-5.8317,International Organizations,Hoeibia Fight (UN fight),Pei Matapa,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,20,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,PG21,PG2108,PG210828,70,actor1,Pei
25,NA,2021-08-04,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Tengo,143.2694,-5.9548,International Organizations,Tengo Fight 2 (Intertribal fight)-  New fight.,Kayaka Matia and Pariaka,Active,NA,NA,NA,Suspected police informant,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,PG21,PG2104,PG210431,5,actor1,Kayaka
25,NA,2021-08-04,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Tengo,143.2694,-5.9548,International Organizations,Tengo Fight 2 (Intertribal fight)-  New fight.,Kayaka Matia and Pariaka,Active,NA,NA,NA,Suspected police informant,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,PG21,PG2104,PG210431,5,actor2,Pariaka
26,NA,2020-07-01,2021-01-01,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Tengo,143.2694,-5.9548,International Organizations,Tengo Fight 1 (Intertribal fight),Kayaka Komai and Magapo and Kayaka Nipa,Paused,NA,NA,NA,Land and/or resource royalty payments,NA,NA,2,38,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,PG21,PG2104,PG210431,40,actor1,Koma
26,NA,2020-07-01,2021-01-01,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Tengo,143.2694,-5.9548,International Organizations,Tengo Fight 1 (Intertribal fight),Kayaka Komai and Magapo and Kayaka Nipa,Paused,NA,NA,NA,Land and/or resource royalty payments,NA,NA,2,38,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,PG21,PG2104,PG210431,40,actor2,Magapo
26,NA,2020-07-01,2021-01-01,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Tengo,143.2694,-5.9548,International Organizations,Tengo Fight 1 (Intertribal fight),Kayaka Komai and Magapo and Kayaka Nipa,Paused,NA,NA,NA,Land and/or resource royalty payments,NA,NA,2,38,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,PG21,PG2104,PG210431,40,actor3,Kayaka
27,NA,2020-09-01,2021-01-21,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Yongo,143.3738,-5.96223,International Organizations,Yongo Fight,Yakare and Yaru,Active,NA,NA,NA,Bride price related,NA,NA,4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,PG21,PG2104,PG210431,44,actor1,Yakare
27,NA,2020-09-01,2021-01-21,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Yongo,143.3738,-5.96223,International Organizations,Yongo Fight,Yakare and Yaru,Active,NA,NA,NA,Bride price related,NA,NA,4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,PG21,PG2104,PG210431,44,actor2,Yaru
28,NA,2021-02-01,NA,Southern Highlands Province,Nipa Kutubu District,Lake Kutubu Rural LLG,NA,"Herebo, Paua (across Hela border)",143.5082,-6.50082,International Organizations,Pimaga- Herebo,"Pimaga Station, Paua (across Hela border)",Paused,NA,NA,NA,Sorcery suspicion,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,PG07,PG0707,PG070722,4,actor1,Pimaga Station
28,NA,2021-02-01,NA,Southern Highlands Province,Nipa Kutubu District,Lake Kutubu Rural LLG,NA,"Herebo, Paua (across Hela border)",143.5082,-6.50082,International Organizations,Pimaga- Herebo,"Pimaga Station, Paua (across Hela border)",Paused,NA,NA,NA,Sorcery suspicion,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,PG07,PG0707,PG070722,4,actor2,Paua
29,NA,2021-02-01,2021-02-01,Southern Highlands Province,Nipa Kutubu District,Lake Kutubu Rural LLG,NA,"Woro, Manu",NA,NA,International Organizations,Woro- Manu Conflict,"Woro, Manu",Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,PG07,PG0707,PG070722,2,actor1,Woro
29,NA,2021-02-01,2021-02-01,Southern Highlands Province,Nipa Kutubu District,Lake Kutubu Rural LLG,NA,"Woro, Manu",NA,NA,International Organizations,Woro- Manu Conflict,"Woro, Manu",Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,PG07,PG0707,PG070722,2,actor2,Manu
30,NA,2018-03-01,NA,Southern Highlands Province,Nipa Kutubu District,Nembi Plateau Rural LLG,NA,"Pimaga Station, Paua (across Hela border)",143.5077,-6.4992,International Organizations,Nembi Plateau- Kutubu,"Nembi Plateau, Pimaga Station",Paused,NA,NA,NA,Sorcery suspicion,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,PG07,PG0707,PG070724,0,actor1,Nembi Plateau
30,NA,2018-03-01,NA,Southern Highlands Province,Nipa Kutubu District,Nembi Plateau Rural LLG,NA,"Pimaga Station, Paua (across Hela border)",143.5077,-6.4992,International Organizations,Nembi Plateau- Kutubu,"Nembi Plateau, Pimaga Station",Paused,NA,NA,NA,Sorcery suspicion,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,PG07,PG0707,PG070724,0,actor2,Pimaga Station
31,NA,2019-04-01,2020-06-01,Southern Highlands Province,Kagua Erave District,Aiya Rural LLG,NA,"Yake, Wopapia, Yale, Imuya, Ala",143.7205,-6.40301,International Organizations,Aiya Conflict,Anankerepa and Merepa and Belo Yamala and Polosi Yamala,Ceasefire,NA,NA,NA,Sorcery suspicion,NA,NA,17,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,PG07,PG0703,PG070332,37,actor1,Anankerepa
31,NA,2019-04-01,2020-06-01,Southern Highlands Province,Kagua Erave District,Aiya Rural LLG,NA,"Yake, Wopapia, Yale, Imuya, Ala",143.7205,-6.40301,International Organizations,Aiya Conflict,Anankerepa and Merepa and Belo Yamala and Polosi Yamala,Ceasefire,NA,NA,NA,Sorcery suspicion,NA,NA,17,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,PG07,PG0703,PG070332,37,actor2,Merepa
31,NA,2019-04-01,2020-06-01,Southern Highlands Province,Kagua Erave District,Aiya Rural LLG,NA,"Yake, Wopapia, Yale, Imuya, Ala",143.7205,-6.40301,International Organizations,Aiya Conflict,Anankerepa and Merepa and Belo Yamala and Polosi Yamala,Ceasefire,NA,NA,NA,Sorcery suspicion,NA,NA,17,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,PG07,PG0703,PG070332,37,actor3,Belo Yamala
31,NA,2019-04-01,2020-06-01,Southern Highlands Province,Kagua Erave District,Aiya Rural LLG,NA,"Yake, Wopapia, Yale, Imuya, Ala",143.7205,-6.40301,International Organizations,Aiya Conflict,Anankerepa and Merepa and Belo Yamala and Polosi Yamala,Ceasefire,NA,NA,NA,Sorcery suspicion,NA,NA,17,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,PG07,PG0703,PG070332,37,actor4,Polosi Yamala
32,NA,2019-09-01,2020-03-01,Southern Highlands Province,Kagua Erave District,Aiya Rural LLG,NA,"Pira 1 , Mapata 2 vs Pira 2 Mapata 1",143.7904,-6.37969,International Organizations,Wabi Sumi Conflict,"Akuna, Pamendarepa and Kome and Mirupa",Paused,NA,NA,NA,Alcohol abuse related,NA,NA,20,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,PG07,PG0703,PG070332,90,actor1,Akuna
32,NA,2019-09-01,2020-03-01,Southern Highlands Province,Kagua Erave District,Aiya Rural LLG,NA,"Pira 1 , Mapata 2 vs Pira 2 Mapata 1",143.7904,-6.37969,International Organizations,Wabi Sumi Conflict,"Akuna, Pamendarepa and Kome and Mirupa",Paused,NA,NA,NA,Alcohol abuse related,NA,NA,20,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,PG07,PG0703,PG070332,90,actor2,Pamendarepa
32,NA,2019-09-01,2020-03-01,Southern Highlands Province,Kagua Erave District,Aiya Rural LLG,NA,"Pira 1 , Mapata 2 vs Pira 2 Mapata 1",143.7904,-6.37969,International Organizations,Wabi Sumi Conflict,"Akuna, Pamendarepa and Kome and Mirupa",Paused,NA,NA,NA,Alcohol abuse related,NA,NA,20,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,PG07,PG0703,PG070332,90,actor3,Kome
32,NA,2019-09-01,2020-03-01,Southern Highlands Province,Kagua Erave District,Aiya Rural LLG,NA,"Pira 1 , Mapata 2 vs Pira 2 Mapata 1",143.7904,-6.37969,International Organizations,Wabi Sumi Conflict,"Akuna, Pamendarepa and Kome and Mirupa",Paused,NA,NA,NA,Alcohol abuse related,NA,NA,20,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,PG07,PG0703,PG070332,90,actor4,Mirupa
33,NA,2019-04-01,NA,Southern Highlands Province,Kagua Erave District,Kagua Rural LLG,NA,Aka vs Katiloma,143.8745,-6.48585,International Organizations,Sugu Valley Fight,WambiaPerepe and . IriyarepaYala,Unknown,NA,NA,NA,Compensation payment related,NA,NA,21,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,PG07,PG0703,PG070309,83,actor1,WambiaPerepe
33,NA,2019-04-01,NA,Southern Highlands Province,Kagua Erave District,Kagua Rural LLG,NA,Aka vs Katiloma,143.8745,-6.48585,International Organizations,Sugu Valley Fight,WambiaPerepe and . IriyarepaYala,Unknown,NA,NA,NA,Compensation payment related,NA,NA,21,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,PG07,PG0703,PG070309,83,actor2,Iriyarepa
34,NA,2021-11-30,NA,Southern Highlands Province,Nipa Kutubu District,Lake Kutubu Rural LLG,NA,Harabio,143.5803,-6.50793,International Organizations,Harabio,Harabio,Ceasefire,NA,NA,NA,To be determined,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,PG07,PG0707,PG070722,0,actor1,Harabio
35,NA,2021-07-01,2021-09-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Sangerep and Nipa Station,143.437,-6.13338,International Organizations,"Egenda 1, 2, and 3- Pulim","Egenda 1, Egenda 2 and Egenda 3 and Pulim",Paused,NA,NA,NA,Alcohol abuse related,NA,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,PG07,PG0707,PG070725,9,actor1,Egenda
35,NA,2021-07-01,2021-09-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Sangerep and Nipa Station,143.437,-6.13338,International Organizations,"Egenda 1, 2, and 3- Pulim","Egenda 1, Egenda 2 and Egenda 3 and Pulim",Paused,NA,NA,NA,Alcohol abuse related,NA,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,PG07,PG0707,PG070725,9,actor2,Egenda
35,NA,2021-07-01,2021-09-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Sangerep and Nipa Station,143.437,-6.13338,International Organizations,"Egenda 1, 2, and 3- Pulim","Egenda 1, Egenda 2 and Egenda 3 and Pulim",Paused,NA,NA,NA,Alcohol abuse related,NA,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,PG07,PG0707,PG070725,9,actor3,Egenda
35,NA,2021-07-01,2021-09-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Sangerep and Nipa Station,143.437,-6.13338,International Organizations,"Egenda 1, 2, and 3- Pulim","Egenda 1, Egenda 2 and Egenda 3 and Pulim",Paused,NA,NA,NA,Alcohol abuse related,NA,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,PG07,PG0707,PG070725,9,actor4,Pulim
36,NA,2021-03-01,2021-06-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Pul Village,143.4588,-6.17019,International Organizations,Hereb 1- Hereb 2,Hereb 1 and Hereb 2,Dormant,NA,NA,NA,To be determined,NA,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,PG07,PG0707,PG070725,22,actor1,Hereb
36,NA,2021-03-01,2021-06-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Pul Village,143.4588,-6.17019,International Organizations,Hereb 1- Hereb 2,Hereb 1 and Hereb 2,Dormant,NA,NA,NA,To be determined,NA,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,PG07,PG0707,PG070725,22,actor2,Hereb
36,NA,2019-06-01,2019-07-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,stone Market,143.5425,-6.23388,International Organizations,Stone Market 1,Telel and Kopra,Ceasefire,NA,NA,NA,Sorcery suspicion,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,PG07,PG0707,PG070725,9,actor1,Telel
36,NA,2019-06-01,2019-07-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,stone Market,143.5425,-6.23388,International Organizations,Stone Market 1,Telel and Kopra,Ceasefire,NA,NA,NA,Sorcery suspicion,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,PG07,PG0707,PG070725,9,actor2,Kopra Clans
37,NA,NA,NA,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Pesi Market,143.4531,-6.17306,International Organizations,Pesi Market Fight,Pesi Market,Ceasefire,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,PG07,PG0707,PG070725,0,actor1,Pesi Market
38,NA,2020-09-01,2020-12-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Stone Market,143.5425,-6.23388,International Organizations,Stone Market 2,Olap and Kopra clans of Tindom 2 CW,Paused,NA,NA,NA,Election/politics related,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,PG07,PG0707,PG070725,5,actor1,Olap
38,NA,2020-09-01,2020-12-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Stone Market,143.5425,-6.23388,International Organizations,Stone Market 2,Olap and Kopra clans of Tindom 2 CW,Paused,NA,NA,NA,Election/politics related,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,PG07,PG0707,PG070725,5,actor2,Kopra Clans
39,NA,2018-03-01,2018-04-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Tokwa and Kopiso,143.4688,-6.13372,International Organizations,Gravel Fight,Towens and Pind,Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,PG07,PG0707,PG070725,3,actor1,Towens
39,NA,2018-03-01,2018-04-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Tokwa and Kopiso,143.4688,-6.13372,International Organizations,Gravel Fight,Towens and Pind,Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,PG07,PG0707,PG070725,3,actor2,Pind
40,NA,2019-06-01,2019-12-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Ingin Village,143.4438,-6.09196,International Organizations,Igin 1- Igin 2,Ingin 1 and Ingin 2,Ceasefire,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,PG07,PG0707,PG070725,2,actor1,Ingin
40,NA,2019-06-01,2019-12-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Ingin Village,143.4438,-6.09196,International Organizations,Igin 1- Igin 2,Ingin 1 and Ingin 2,Ceasefire,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,PG07,PG0707,PG070725,2,actor2,Ingin
41,NA,2020-01-01,2020-03-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Lorop Village,143.4252,-6.12381,International Organizations,Komya- Sume,Lorop and Kemp,Ceasefire,NA,NA,NA,"Domestic, marital, extra marital issue",NA,NA,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,PG07,PG0707,PG070725,22,actor1,Lorop
41,NA,2020-01-01,2020-03-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Lorop Village,143.4252,-6.12381,International Organizations,Komya- Sume,Lorop and Kemp,Ceasefire,NA,NA,NA,"Domestic, marital, extra marital issue",NA,NA,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,PG07,PG0707,PG070725,22,actor2,Kemp
42,NA,2019-01-01,2019-05-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Ogura,143.558,-6.24764,International Organizations,Ogura Fight,Wirin and Sarol Clan,Ceasefire,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,PG07,PG0707,PG070725,5,actor1,Wirin
42,NA,2019-01-01,2019-05-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Ogura,143.558,-6.24764,International Organizations,Ogura Fight,Wirin and Sarol Clan,Ceasefire,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,PG07,PG0707,PG070725,5,actor2,Sarol Clan
43,NA,2019-08-01,2019-11-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Puril,143.4537,-6.16397,International Organizations,Puril Fight,Wowol clan and the Tesda Clan,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,PG07,PG0707,PG070725,4,actor1,Wowol clan
43,NA,2019-08-01,2019-11-01,Southern Highlands Province,Nipa Kutubu District,Nipa Rural LLG,NA,Puril,143.4537,-6.16397,International Organizations,Puril Fight,Wowol clan and the Tesda Clan,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,PG07,PG0707,PG070725,4,actor2,Tesda Clan
44,NA,2022-03-09,2020-03-11,Southern Highlands Province,Kagua Erave District,Kuare Rural LLG,NA,Eta Village,143.9786,-6.46221,International Organizations,Eta- Kupia,Eta CW members and Kupia CW Members,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,PG07,PG0703,PG070310,4,actor1,Eta CW members
44,NA,2022-03-09,2020-03-11,Southern Highlands Province,Kagua Erave District,Kuare Rural LLG,NA,Eta Village,143.9786,-6.46221,International Organizations,Eta- Kupia,Eta CW members and Kupia CW Members,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,PG07,PG0703,PG070310,4,actor2,Kupia CW Members
45,NA,2021-01-24,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Kakarane 1,"Honaka, Kepona",142.7793,-5.7444,UN Agencies,Honaka- Himi conflict,HonakaandKepona Clans,Active,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,PG21,PG2105,PG210517,6,actor1,Honaka
46,NA,2021-04-13,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,NA,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,PG21,PG2108,PG210829,2,actor1,Linapini
46,NA,2021-04-13,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,NA,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,PG21,PG2108,PG210829,2,actor2,Tipa
46,NA,2018-09-01,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,Tungube,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,PG21,PG2108,PG210829,7,actor1,Linapini
